parastatal,year,capital expenditure,recurrent expenditure,allocation
FEDERAL MINISTRY OF WATER RESOURCES,2011,,,
FEDERAL MINISTRY OF JUSTICE,2011,,,
INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION,2011,,,
FEDERAL CAPITAL TERRITORY ADMINISTRATION,2011,,,
MINISTRY OF NIGER DELTA AFFAIRS,2011,,,
NATIONAL SPORTS COMMISSION,2011,,,
FEDERAL MINISTRY OF YOUTH  DEVELOPMENT,2011,,,
FEDERAL MINISTRY OF WOMEN AFFAIRS,2011,,,
FEDERAL MINISTRY OF EDUCATION,2011,,,
FEDERAL MINISTRY OF HEALTH,2011,,,
FEDERAL MINISTRY OF ENVIRONMENT,2011,,,
NATIONAL POPULATION COMMISSION,2011,,,
FEDERAL CHARACTER COMMISSION,2011,,,
FEDERAL MINISTRY OF SPECIAL DUTIES & INTER - GOVERNMENTAL AFFAIRS,2011,,,
FEDERAL MINISTRY OF POLICE AFFAIRS,2011,,,
,,,,
PRESIDENCY,2010,,,
MINISTRY OF DEFENCE,2010,,,
MINISTRY OF FOREIGN AFFAIRS,2010,,,
FEDERAL MINISTRY OF INFORMATION,2010,,,
"FEDERAL MINISTRY OF TOURISM, CULTURE & NATIONAL ORIENTATION",2010,,,
FEDERAL MINISTRY OF AVIATION,2010,,,
MINISTRY OF INTERIOR,2010,,,
OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,2010,,,
AUDITOR GENERAL FOR THE FEDERATION,2010,,,
MINISTRY OF COMMUNICATION TECHNOLOGY,2010,,,
OFFICE OF THE NATIONAL SECURITY ADVISER,2010,,,
INFRASTRUCTURE CONCESSIONARY REGULATORY COMMISSION,2010,,,
OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION,2010,,,
FEDERAL MINISTRY OF AGRICULTURE & RURAL DEVELOPMENT,2010,,,
FEDERAL MINISTRY OF FINANCE,2010,,,
"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",2010,,,
FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,2010,,,
FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,2010,,,
FEDERAL MINISTRY OF TRANSPORTATION,2010,,,
FEDERAL MINISTRY OF  WORKS,2010,,,
"FEDERAL MINISTRY OF LANDS, HOUSING & URBAN DEVELOPMENT",2010,,,
FEDERAL MINISTRY OF  POWER,2010,,,
MINISTRY OF PETROLEUM RESOURCES,2010,,,
MINISTRY OF MINES AND STEEL DEVELOPMENT,2010,,,
MINISTRY OF BUDGET AND NATIONAL PLANNING,2010,,,
"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",2010,,,
FISCAL RESPONSIBILITY COMMISSION,2010,,,
FEDERAL MINISTRY OF WATER RESOURCES,2010,,,
FEDERAL MINISTRY OF JUSTICE,2010,,,
INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION,2010,,,
FEDERAL CAPITAL TERRITORY ADMINISTRATION,2010,,,
MINISTRY OF NIGER DELTA AFFAIRS,2010,,,
NATIONAL SPORTS COMMISSION,2010,,,
FEDERAL MINISTRY OF YOUTH  DEVELOPMENT,2010,,,
FEDERAL MINISTRY OF WOMEN AFFAIRS,2010,,,
FEDERAL MINISTRY OF EDUCATION,2010,,,
FEDERAL MINISTRY OF HEALTH,2010,,,
FEDERAL MINISTRY OF ENVIRONMENT,2010,,,
NATIONAL POPULATION COMMISSION,2010,,,
FEDERAL CHARACTER COMMISSION,2010,,,
FEDERAL MINISTRY OF SPECIAL DUTIES & INTER - GOVERNMENTAL AFFAIRS,2010,,,
FEDERAL MINISTRY OF POLICE AFFAIRS,2010,,,
,,,,
PRESIDENCY,2009,,,
MINISTRY OF DEFENCE,2009,,,
MINISTRY OF FOREIGN AFFAIRS,2009,,,
FEDERAL MINISTRY OF INFORMATION,2009,,,
"FEDERAL MINISTRY OF TOURISM, CULTURE & NATIONAL ORIENTATION",2009,,,
FEDERAL MINISTRY OF AVIATION,2009,,,
MINISTRY OF INTERIOR,2009,,,
OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,2009,,,
AUDITOR GENERAL FOR THE FEDERATION,2009,,,
MINISTRY OF COMMUNICATION TECHNOLOGY,2009,,,
OFFICE OF THE NATIONAL SECURITY ADVISER,2009,,,
INFRASTRUCTURE CONCESSIONARY REGULATORY COMMISSION,2009,,,
OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION,2009,,,
FEDERAL MINISTRY OF AGRICULTURE & RURAL DEVELOPMENT,2009,,,
FEDERAL MINISTRY OF FINANCE,2009,,,
"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",2009,,,
FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,2009,,,
FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,2009,,,
FEDERAL MINISTRY OF TRANSPORTATION,2009,,,
FEDERAL MINISTRY OF  WORKS,2009,,,
"FEDERAL MINISTRY OF LANDS, HOUSING & URBAN DEVELOPMENT",2009,,,
FEDERAL MINISTRY OF  POWER,2009,,,
MINISTRY OF PETROLEUM RESOURCES,2009,,,
MINISTRY OF MINES AND STEEL DEVELOPMENT,2009,,,
MINISTRY OF BUDGET AND NATIONAL PLANNING,2009,,,
"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",2009,,,
FISCAL RESPONSIBILITY COMMISSION,2009,,,
FEDERAL MINISTRY OF WATER RESOURCES,2009,,,
FEDERAL MINISTRY OF JUSTICE,2009,,,
INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION,2009,,,
FEDERAL CAPITAL TERRITORY ADMINISTRATION,2009,,,
MINISTRY OF NIGER DELTA AFFAIRS,2009,,,
NATIONAL SPORTS COMMISSION,2009,,,
FEDERAL MINISTRY OF YOUTH  DEVELOPMENT,2009,,,
FEDERAL MINISTRY OF WOMEN AFFAIRS,2009,,,
FEDERAL MINISTRY OF EDUCATION,2009,,,
FEDERAL MINISTRY OF HEALTH,2009,,,
FEDERAL MINISTRY OF ENVIRONMENT,2009,,,
NATIONAL POPULATION COMMISSION,2009,,,
FEDERAL CHARACTER COMMISSION,2009,,,
FEDERAL MINISTRY OF SPECIAL DUTIES & INTER - GOVERNMENTAL AFFAIRS,2009,,,
FEDERAL MINISTRY OF POLICE AFFAIRS,2009,,,
,,,,
,,,,
PRESIDENCY,2008,,,
MINISTRY OF DEFENCE,2008,,,
MINISTRY OF FOREIGN AFFAIRS,2008,,,
FEDERAL MINISTRY OF INFORMATION,2008,,,
"FEDERAL MINISTRY OF TOURISM, CULTURE & NATIONAL ORIENTATION",2008,,,
FEDERAL MINISTRY OF AVIATION,2008,,,
MINISTRY OF INTERIOR,2008,,,
OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,2008,,,
AUDITOR GENERAL FOR THE FEDERATION,2008,,,
MINISTRY OF COMMUNICATION TECHNOLOGY,2008,,,
OFFICE OF THE NATIONAL SECURITY ADVISER,2008,,,
INFRASTRUCTURE CONCESSIONARY REGULATORY COMMISSION,2008,,,
OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION,2008,,,
FEDERAL MINISTRY OF AGRICULTURE & RURAL DEVELOPMENT,2008,,,
FEDERAL MINISTRY OF FINANCE,2008,,,
"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",2008,,,
FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,2008,,,
FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,2008,,,
FEDERAL MINISTRY OF TRANSPORTATION,2008,,,
FEDERAL MINISTRY OF  WORKS,2008,,,
"FEDERAL MINISTRY OF LANDS, HOUSING & URBAN DEVELOPMENT",2008,,,
FEDERAL MINISTRY OF  POWER,2008,,,
MINISTRY OF PETROLEUM RESOURCES,2008,,,
MINISTRY OF MINES AND STEEL DEVELOPMENT,2008,,,
MINISTRY OF BUDGET AND NATIONAL PLANNING,2008,,,
"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",2008,,,
FISCAL RESPONSIBILITY COMMISSION,2008,,,
FEDERAL MINISTRY OF WATER RESOURCES,2008,,,
FEDERAL MINISTRY OF JUSTICE,2008,,,
INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION,2008,,,
FEDERAL CAPITAL TERRITORY ADMINISTRATION,2008,,,
MINISTRY OF NIGER DELTA AFFAIRS,2008,,,
NATIONAL SPORTS COMMISSION,2008,,,
FEDERAL MINISTRY OF YOUTH  DEVELOPMENT,2008,,,
FEDERAL MINISTRY OF WOMEN AFFAIRS,2008,,,
FEDERAL MINISTRY OF EDUCATION,2008,,,
FEDERAL MINISTRY OF HEALTH,2008,,,
FEDERAL MINISTRY OF ENVIRONMENT,2008,,,
NATIONAL POPULATION COMMISSION,2008,,,
FEDERAL CHARACTER COMMISSION,2008,,,
FEDERAL MINISTRY OF SPECIAL DUTIES & INTER - GOVERNMENTAL AFFAIRS,2008,,,
FEDERAL MINISTRY OF POLICE AFFAIRS,,,,
