parastatal,year,capital expenditure,recurrent expenditure,allocation
FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,2020,11620811106,11422155751,23042966857
FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,2020,37553386402,42759981586,80313367988
FEDERAL MINISTRY OF TRANSPORT,2020,123069932571,12618112990,135688045561
FEDERAL MINISTRY OF AVIATION,2020,53848466285,6923080532,60771546817
FEDERAL MINISTRY OF POWER,2020,127668777103,5825808404,133494585507
MINISTRY OF PETROLEUM RESOURCES,2020,3337444887,75959587057,79297031944
MINISTRY OF MINES AND STEEL DEVELOPMENT,2020,7416563177,10906604610,18323167787
FEDERAL MINISTRY OF WORKS AND HOUSING,2020,259201375039,27983371592,287184746631
"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",2020,127609002,820430931,948039933
FISCAL RESPONSIBILITY COMMISSION,2020,170652203,332013751,502665954
FEDERAL MINISTRY OF WATER RESOURCES,2020,78378502917,8875958206,87254461123
FEDERAL MINISTRY OF JUSTICE,2020,3687478887,27363257259,31050736146
"INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES
COMMISSION",2020,363066404,7155895141,7518961545
FEDERAL CAPITAL TERRITORY ADMINISTRATION,2020,28422804431,,28422804431
MINISTRY OF NIGER DELTA AFFAIRS,2020,23890350399,2020135886,25910486285
FEDERAL MINISTRY OF YOUTH & SPORTS DEVELOPMENT,2020,2730486210,168331040938,171061527148
FEDERAL MINISTRY OF WOMEN AFFAIRS,2020,2910300966,1530934792,4441235758
FEDERAL MINISTRY OF EDUCATION,2020,50946799987,490203716050,541150516037
FEDERAL MINISTRY OF HEALTH,2020,46477832301,336322463885,382800296186
FEDERAL MINISTRY OF ENVIRONMENT,2020,9611943218,18367382771,27979325989
NATIONAL POPULATION COMMISSION,2020,2032717266,6272635692,8305352958
,,,,
,,,,
PRESIDENCY,2018,,,51445678808
MINISTRY OF DEFENCE,2018,,,567433895517
MINISTRY OF FOREIGN AFFAIRS,2018,,,72887240906
FEDERAL MINISTRY OF INFORMATION & CULTURE,2018,,,51477720001
MINISTRY OF INTERIOR,2018,,,574134520760
OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,2018,,,9757847406
AUDITOR GENERAL FOR THE FEDERATION,2018,,,3222415524
MINISTRY OF POLICE AFFAIRS,2018,,,1472026629
MINISTRY OF COMMUNICATION TECHNOLOGY,2018,,,19260740637
OFFICE OF THE NATIONAL SECURITY ADVISER,2018,,,121730943684
INFRASTRUCTURE CONCESSIONARY REGULATORY COMMISSION,2018,,,1542198903
